Participant,Technique,Trial,Condition,Associated,Response,Response Time,Prompt Time,Travel Time,Objects In Box
,T,1,D,TRUE,TRUE,194 ms,9703 ms,43837 ms, grey pyramid+yellow cone+magenta star+brown sphere+black block+white cross+
,T,2,D,FALSE,TRUE,4480 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,2,D,TRUE,TRUE,210 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,2,D,FALSE,TRUE,27 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,2,D,FALSE,TRUE,180 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,2,D,FALSE,TRUE,26 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,2,D,FALSE,TRUE,153 ms,11013 ms,19281 ms, magenta pyramid+yellow disk+grey block+red sphere+blue cone+brown cube+
,T,3,ND,FALSE,FALSE,2518 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,3,ND,TRUE,FALSE,195 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,3,ND,FALSE,FALSE,13 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,3,ND,TRUE,TRUE,180 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,3,ND,FALSE,TRUE,26 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,3,ND,FALSE,TRUE,195 ms,7920 ms,15591 ms, red cube+yellow pole+grey cone+green star+black disk+brown cross+
,T,4,ND,TRUE,FALSE,51052 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,T,4,ND,TRUE,FALSE,1504 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,T,4,ND,TRUE,FALSE,5919 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,T,4,ND,TRUE,FALSE,4941 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,T,4,ND,FALSE,FALSE,2980 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,T,4,ND,FALSE,FALSE,528 ms,10538 ms,81364 ms, white cone+yellow star+blue cube+black pyramid+grey cross+red disk+
,,1,D,TRUE,FALSE,31907 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,1,D,TRUE,TRUE,206 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,1,D,FALSE,TRUE,181 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,1,D,FALSE,TRUE,180 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,1,D,TRUE,FALSE,180 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,1,D,TRUE,FALSE,195 ms,12596 ms,48389 ms, grey sphere+red block+yellow disk+magenta star+orange pole+green cone+
,,2,ND,TRUE,FALSE,3678 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,2,ND,FALSE,FALSE,151 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,2,ND,TRUE,FALSE,167 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,2,ND,FALSE,FALSE,181 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,2,ND,TRUE,FALSE,179 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,2,ND,FALSE,FALSE,181 ms,4649 ms,11391 ms, brown disk+orange block+green wedge+magenta cube+red star+yellow cross+
,,3,ND,TRUE,FALSE,5639 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
,,3,ND,TRUE,TRUE,194 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
,,3,ND,TRUE,TRUE,166 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
,,3,ND,TRUE,TRUE,14 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
,,3,ND,FALSE,FALSE,153 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
,,3,ND,TRUE,FALSE,13 ms,5679 ms,16079 ms, white star+blue block+green cone+red cube+magenta sphere+grey wedge+
